"","o3","Agency","Site.AQS","Method","date","time"
"1",30,"MD1",240259001,47,2019-10-28 00:00:00,0
"2",31,"MD1",240259001,47,2019-10-28 01:00:00,1
"3",33,"MD1",240259001,47,2019-10-28 02:00:00,2
"4",33,"MD1",240259001,47,2019-10-28 03:00:00,3
"5",32,"MD1",240259001,47,2019-10-28 04:00:00,4
"6",29,"MD1",240259001,47,2019-10-28 05:00:00,5
"7",29,"MD1",240259001,47,2019-10-28 06:00:00,6
"8",29,"MD1",240259001,47,2019-10-28 07:00:00,7
"9",33,"MD1",240259001,47,2019-10-28 08:00:00,8
"10",36,"MD1",240259001,47,2019-10-28 09:00:00,9
"11",37,"MD1",240259001,47,2019-10-28 10:00:00,10
"12",39,"MD1",240259001,47,2019-10-28 11:00:00,11
"13",41,"MD1",240259001,47,2019-10-28 12:00:00,12
"14",44,"MD1",240259001,47,2019-10-28 13:00:00,13
"15",44,"MD1",240259001,47,2019-10-28 14:00:00,14
"16",44,"MD1",240259001,47,2019-10-28 15:00:00,15
"17",42,"MD1",240259001,47,2019-10-28 16:00:00,16
"19",34,"MD1",240259001,47,2019-10-28 18:00:00,18
"20",30,"MD1",240259001,47,2019-10-28 19:00:00,19
"21",27,"MD1",240259001,47,2019-10-28 20:00:00,20
"22",26,"MD1",240259001,47,2019-10-28 21:00:00,21
"23",30,"MD1",240259001,47,2019-10-28 22:00:00,22
"24",31,"MD1",240259001,47,2019-10-28 23:00:00,23
"25",29,"MD1",240259001,47,2019-10-29 00:00:00,0
"26",27,"MD1",240259001,47,2019-10-29 01:00:00,1
"27",27,"MD1",240259001,47,2019-10-29 02:00:00,2
"28",26,"MD1",240259001,47,2019-10-29 03:00:00,3
"29",25,"MD1",240259001,47,2019-10-29 04:00:00,4
"30",24,"MD1",240259001,47,2019-10-29 05:00:00,5
"31",21,"MD1",240259001,47,2019-10-29 06:00:00,6
"32",23,"MD1",240259001,47,2019-10-29 07:00:00,7
"33",29,"MD1",240259001,47,2019-10-29 08:00:00,8
"34",34,"MD1",240259001,47,2019-10-29 09:00:00,9
"35",36,"MD1",240259001,47,2019-10-29 10:00:00,10
"36",36,"MD1",240259001,47,2019-10-29 11:00:00,11
"37",38,"MD1",240259001,47,2019-10-29 12:00:00,12
"38",27,"NY1",360290002,87,2019-10-28 00:00:00,0
"39",28,"NY1",360290002,87,2019-10-28 01:00:00,1
"40",27,"NY1",360290002,87,2019-10-28 02:00:00,2
"41",19,"NY1",360290002,87,2019-10-28 03:00:00,3
"42",21,"NY1",360290002,87,2019-10-28 04:00:00,4
"43",20,"NY1",360290002,87,2019-10-28 05:00:00,5
"44",14,"NY1",360290002,87,2019-10-28 06:00:00,6
"45",7,"NY1",360290002,87,2019-10-28 07:00:00,7
"46",19,"NY1",360290002,87,2019-10-28 08:00:00,8
"47",24,"NY1",360290002,87,2019-10-28 09:00:00,9
"48",30,"NY1",360290002,87,2019-10-28 10:00:00,10
"49",35,"NY1",360290002,87,2019-10-28 11:00:00,11
"50",38,"NY1",360290002,87,2019-10-28 12:00:00,12
"51",39,"NY1",360290002,87,2019-10-28 13:00:00,13
"52",39,"NY1",360290002,87,2019-10-28 14:00:00,14
"53",39,"NY1",360290002,87,2019-10-28 15:00:00,15
"54",38,"NY1",360290002,87,2019-10-28 16:00:00,16
"55",34,"NY1",360290002,87,2019-10-28 17:00:00,17
"56",27,"NY1",360290002,87,2019-10-28 18:00:00,18
"57",16,"NY1",360290002,87,2019-10-28 19:00:00,19
"58",7,"NY1",360290002,87,2019-10-28 20:00:00,20
"59",0,"NY1",360290002,87,2019-10-28 21:00:00,21
"60",0,"NY1",360290002,87,2019-10-28 22:00:00,22
"61",0,"NY1",360290002,87,2019-10-28 23:00:00,23
"62",0,"NY1",360290002,87,2019-10-29 00:00:00,0
"63",0,"NY1",360290002,87,2019-10-29 01:00:00,1
"64",0,"NY1",360290002,87,2019-10-29 02:00:00,2
"65",2,"NY1",360290002,87,2019-10-29 03:00:00,3
"66",3,"NY1",360290002,87,2019-10-29 04:00:00,4
"67",2,"NY1",360290002,87,2019-10-29 05:00:00,5
"68",0,"NY1",360290002,87,2019-10-29 06:00:00,6
