"","date","O3","NO2","WD","WS"
"1",2019-07-01 00:00:00,31,3,NA,NA
"2",2019-07-01 01:00:00,28,4,NA,NA
"3",2019-07-01 10:00:00,41,NA,NA,NA
"4",2019-07-01 11:00:00,45,NA,NA,NA
"5",2019-07-01 12:00:00,48,NA,NA,NA
"6",2019-07-01 13:00:00,51,NA,NA,NA
"7",2019-07-01 14:00:00,54,NA,NA,NA
"8",2019-07-01 15:00:00,56,NA,NA,NA
"9",2019-07-01 16:00:00,57,NA,NA,NA
"10",2019-07-01 17:00:00,59,NA,NA,NA
"11",2019-07-01 18:00:00,53,NA,NA,NA
"12",2019-07-01 19:00:00,50,NA,NA,NA
"13",2019-07-01 02:00:00,25,5,NA,NA
"14",2019-07-01 20:00:00,41,NA,NA,NA
"15",2019-07-01 21:00:00,31,NA,NA,NA
"16",2019-07-01 22:00:00,26,NA,NA,NA
"17",2019-07-01 23:00:00,17,NA,NA,NA
"18",2019-07-01 03:00:00,20,8,NA,NA
"19",2019-07-01 04:00:00,18,8,NA,NA
"20",2019-07-01 05:00:00,17,9,NA,NA
"21",2019-07-01 06:00:00,20,7,NA,NA
"22",2019-07-01 07:00:00,25,3,NA,NA
"23",2019-07-01 08:00:00,30,3,NA,NA
"24",2019-07-01 09:00:00,36,NA,NA,NA
"25",2019-07-10 00:00:00,31,NA,NA,NA
"26",2019-07-10 01:00:00,31,NA,NA,NA
"27",2019-07-10 10:00:00,54,NA,NA,NA
"28",2019-07-10 11:00:00,55,NA,NA,NA
"29",2019-07-10 12:00:00,55,NA,NA,NA
"30",2019-07-10 13:00:00,55,NA,NA,NA
"31",2019-07-10 14:00:00,53,NA,NA,NA
"32",2019-07-10 15:00:00,53,NA,NA,NA
"33",2019-07-10 16:00:00,55,NA,NA,NA
"34",2019-07-10 17:00:00,54,NA,NA,NA
"35",2019-07-10 18:00:00,50,NA,NA,NA
"36",2019-07-10 19:00:00,46,NA,NA,NA
"37",2019-07-10 02:00:00,29,NA,NA,NA
"38",2019-07-10 20:00:00,48,NA,NA,NA
"39",2019-07-10 21:00:00,46,NA,NA,NA
"40",2019-07-10 22:00:00,45,NA,NA,NA
"41",2019-07-10 23:00:00,43,NA,NA,NA
"42",2019-07-10 03:00:00,28,NA,NA,NA
"43",2019-07-10 04:00:00,22,NA,NA,NA
"44",2019-07-10 05:00:00,19,NA,NA,NA
"45",2019-07-10 06:00:00,22,NA,NA,NA
"46",2019-07-10 07:00:00,30,NA,NA,NA
"47",2019-07-10 08:00:00,33,NA,NA,NA
"48",2019-07-10 09:00:00,45,NA,NA,NA
"49",2019-07-11 00:00:00,39,NA,NA,NA
